Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Months Code,Months,Unit,Value,Flag,Flag Description
"PP","Producer Prices","214","Dominican Republic","5532","Producer Price (USD/tonne)","01311","Avocados","2022","2022","7021","Annual value","USD","479.7","A","Official figure"
"PP","Producer Prices","218","Ecuador","5532","Producer Price (USD/tonne)","01311","Avocados","2015","2015","7021","Annual value","USD","851.4","A","Official figure"
"PP","Producer Prices","218","Ecuador","5532","Producer Price (USD/tonne)","01311","Avocados","2016","2016","7021","Annual value","USD","1022.1","A","Official figure"
"PP","Producer Prices","218","Ecuador","5532","Producer Price (USD/tonne)","01311","Avocados","2017","2017","7021","Annual value","USD","1918.1","A","Official figure"
"PP","Producer Prices","218","Ecuador","5532","Producer Price (USD/tonne)","01311","Avocados","2018","2018","7021","Annual value","USD","2081.2","A","Official figure"
"PP","Producer Prices","218","Ecuador","5532","Producer Price (USD/tonne)","01311","Avocados","2019","2019","7021","Annual value","USD","1957","A","Official figure"
"PP","Producer Prices","218","Ecuador","5532","Producer Price (USD/tonne)","01311","Avocados","2020","2020","7021","Annual value","USD","1862.6","A","Official figure"
"PP","Producer Prices","218","Ecuador","5532","Producer Price (USD/tonne)","01311","Avocados","2021","2021","7021","Annual value","USD","1739","A","Official figure"
"PP","Producer Prices","218","Ecuador","5532","Producer Price (USD/tonne)","01311","Avocados","2022","2022","7021","Annual value","USD","1750.9","A","Official figure"
"PP","Producer Prices","222","El Salvador","5532","Producer Price (USD/tonne)","01311","Avocados","2015","2015","7021","Annual value","USD","494.3","A","Official figure"
"PP","Producer Prices","222","El Salvador","5532","Producer Price (USD/tonne)","01311","Avocados","2016","2016","7021","Annual value","USD","730.6","A","Official figure"
"PP","Producer Prices","222","El Salvador","5532","Producer Price (USD/tonne)","01311","Avocados","2017","2017","7021","Annual value","USD","702.9","A","Official figure"
"PP","Producer Prices","222","El Salvador","5532","Producer Price (USD/tonne)","01311","Avocados","2018","2018","7021","Annual value","USD","495.3","A","Official figure"
"PP","Producer Prices","222","El Salvador","5532","Producer Price (USD/tonne)","01311","Avocados","2019","2019","7021","Annual value","USD","828.1","A","Official figure"
"PP","Producer Prices","222","El Salvador","5532","Producer Price (USD/tonne)","01311","Avocados","2020","2020","7021","Annual value","USD","513.5","A","Official figure"
"PP","Producer Prices","222","El Salvador","5532","Producer Price (USD/tonne)","01311","Avocados","2021","2021","7021","Annual value","USD","535.3","A","Official figure"
"PP","Producer Prices","222","El Salvador","5532","Producer Price (USD/tonne)","01311","Avocados","2022","2022","7021","Annual value","USD","580.7","A","Official figure"
"PP","Producer Prices","308","Grenada","5532","Producer Price (USD/tonne)","01311","Avocados","2015","2015","7021","Annual value","USD","1633.1","A","Official figure"
"PP","Producer Prices","308","Grenada","5532","Producer Price (USD/tonne)","01311","Avocados","2016","2016","7021","Annual value","USD","1167.6","A","Official figure"
"PP","Producer Prices","308","Grenada","5532","Producer Price (USD/tonne)","01311","Avocados","2017","2017","7021","Annual value","USD","1835.5","A","Official figure"
"PP","Producer Prices","308","Grenada","5532","Producer Price (USD/tonne)","01311","Avocados","2018","2018","7021","Annual value","USD","1148.4","A","Official figure"
"PP","Producer Prices","308","Grenada","5532","Producer Price (USD/tonne)","01311","Avocados","2019","2019","7021","Annual value","USD","1193.9","A","Official figure"
"PP","Producer Prices","308","Grenada","5532","Producer Price (USD/tonne)","01311","Avocados","2020","2020","7021","Annual value","USD","741","A","Official figure"
"PP","Producer Prices","308","Grenada","5532","Producer Price (USD/tonne)","01311","Avocados","2021","2021","7021","Annual value","USD","1060.5","A","Official figure"
"PP","Producer Prices","308","Grenada","5532","Producer Price (USD/tonne)","01311","Avocados","2022","2022","7021","Annual value","USD","1176.1","A","Official figure"
"PP","Producer Prices","328","Guyana","5532","Producer Price (USD/tonne)","01311","Avocados","2018","2018","7021","Annual value","USD","893.7","A","Official figure"
"PP","Producer Prices","328","Guyana","5532","Producer Price (USD/tonne)","01311","Avocados","2019","2019","7021","Annual value","USD","661.1","A","Official figure"
"PP","Producer Prices","328","Guyana","5532","Producer Price (USD/tonne)","01311","Avocados","2020","2020","7021","Annual value","USD","527.6","A","Official figure"
"PP","Producer Prices","328","Guyana","5532","Producer Price (USD/tonne)","01311","Avocados","2021","2021","7021","Annual value","USD","901.2","A","Official figure"
"PP","Producer Prices","484","Mexico","5532","Producer Price (USD/tonne)","01311","Avocados","2015","2015","7021","Annual value","USD","865.3","A","Official figure"
"PP","Producer Prices","484","Mexico","5532","Producer Price (USD/tonne)","01311","Avocados","2016","2016","7021","Annual value","USD","858.3","A","Official figure"
"PP","Producer Prices","484","Mexico","5532","Producer Price (USD/tonne)","01311","Avocados","2017","2017","7021","Annual value","USD","1033.5","A","Official figure"
"PP","Producer Prices","484","Mexico","5532","Producer Price (USD/tonne)","01311","Avocados","2018","2018","7021","Annual value","USD","996.8","A","Official figure"
"PP","Producer Prices","484","Mexico","5532","Producer Price (USD/tonne)","01311","Avocados","2019","2019","7021","Annual value","USD","1116.4","A","Official figure"
"PP","Producer Prices","484","Mexico","5532","Producer Price (USD/tonne)","01311","Avocados","2020","2020","7021","Annual value","USD","959.9","A","Official figure"
"PP","Producer Prices","484","Mexico","5532","Producer Price (USD/tonne)","01311","Avocados","2021","2021","7021","Annual value","USD","1020.5","A","Official figure"
"PP","Producer Prices","484","Mexico","5532","Producer Price (USD/tonne)","01311","Avocados","2022","2022","7021","Annual value","USD","1117.3","A","Official figure"
"PP","Producer Prices","600","Paraguay","5532","Producer Price (USD/tonne)","01311","Avocados","2016","2016","7021","Annual value","USD","447.8","A","Official figure"
"PP","Producer Prices","600","Paraguay","5532","Producer Price (USD/tonne)","01311","Avocados","2017","2017","7021","Annual value","USD","173.8","A","Official figure"
"PP","Producer Prices","600","Paraguay","5532","Producer Price (USD/tonne)","01311","Avocados","2018","2018","7021","Annual value","USD","282.3","A","Official figure"
"PP","Producer Prices","600","Paraguay","5532","Producer Price (USD/tonne)","01311","Avocados","2019","2019","7021","Annual value","USD","246.8","A","Official figure"
"PP","Producer Prices","600","Paraguay","5532","Producer Price (USD/tonne)","01311","Avocados","2020","2020","7021","Annual value","USD","183.2","A","Official figure"
"PP","Producer Prices","600","Paraguay","5532","Producer Price (USD/tonne)","01311","Avocados","2021","2021","7021","Annual value","USD","248.3","A","Official figure"
"PP","Producer Prices","600","Paraguay","5532","Producer Price (USD/tonne)","01311","Avocados","2022","2022","7021","Annual value","USD","319","A","Official figure"
"PP","Producer Prices","604","Peru","5532","Producer Price (USD/tonne)","01311","Avocados","2015","2015","7021","Annual value","USD","706.2","A","Official figure"
"PP","Producer Prices","604","Peru","5532","Producer Price (USD/tonne)","01311","Avocados","2016","2016","7021","Annual value","USD","775.7","A","Official figure"
"PP","Producer Prices","604","Peru","5532","Producer Price (USD/tonne)","01311","Avocados","2017","2017","7021","Annual value","USD","1018.3","A","Official figure"
"PP","Producer Prices","604","Peru","5532","Producer Price (USD/tonne)","01311","Avocados","2018","2018","7021","Annual value","USD","1027.7","A","Official figure"
"PP","Producer Prices","604","Peru","5532","Producer Price (USD/tonne)","01311","Avocados","2019","2019","7021","Annual value","USD","965.2","A","Official figure"
"PP","Producer Prices","604","Peru","5532","Producer Price (USD/tonne)","01311","Avocados","2020","2020","7021","Annual value","USD","991.4","A","Official figure"
"PP","Producer Prices","604","Peru","5532","Producer Price (USD/tonne)","01311","Avocados","2021","2021","7021","Annual value","USD","990.9","A","Official figure"
"PP","Producer Prices","604","Peru","5532","Producer Price (USD/tonne)","01311","Avocados","2022","2022","7021","Annual value","USD","875.1","A","Official figure"
"PP","Producer Prices","630","Puerto Rico","5532","Producer Price (USD/tonne)","01311","Avocados","2015","2015","7021","Annual value","USD","3886.9","A","Official figure"
"PP","Producer Prices","662","Saint Lucia","5532","Producer Price (USD/tonne)","01311","Avocados","2017","2017","7021","Annual value","USD","1837","A","Official figure"
"PP","Producer Prices","662","Saint Lucia","5532","Producer Price (USD/tonne)","01311","Avocados","2018","2018","7021","Annual value","USD","1970.4","A","Official figure"
"PP","Producer Prices","662","Saint Lucia","5532","Producer Price (USD/tonne)","01311","Avocados","2019","2019","7021","Annual value","USD","2075.9","A","Official figure"
"PP","Producer Prices","662","Saint Lucia","5532","Producer Price (USD/tonne)","01311","Avocados","2020","2020","7021","Annual value","USD","2033.3","A","Official figure"
"PP","Producer Prices","662","Saint Lucia","5532","Producer Price (USD/tonne)","01311","Avocados","2021","2021","7021","Annual value","USD","2140.7","A","Official figure"
"PP","Producer Prices","662","Saint Lucia","5532","Producer Price (USD/tonne)","01311","Avocados","2022","2022","7021","Annual value","USD","2086.3","A","Official figure"
"PP","Producer Prices","670","Saint Vincent and the Grenadines","5532","Producer Price (USD/tonne)","01311","Avocados","2015","2015","7021","Annual value","USD","912.6","A","Official figure"
"PP","Producer Prices","670","Saint Vincent and the Grenadines","5532","Producer Price (USD/tonne)","01311","Avocados","2016","2016","7021","Annual value","USD","1124.4","A","Official figure"
"PP","Producer Prices","670","Saint Vincent and the Grenadines","5532","Producer Price (USD/tonne)","01311","Avocados","2017","2017","7021","Annual value","USD","1081.5","A","Official figure"
"PP","Producer Prices","670","Saint Vincent and the Grenadines","5532","Producer Price (USD/tonne)","01311","Avocados","2018","2018","7021","Annual value","USD","971.7","A","Official figure"
"PP","Producer Prices","670","Saint Vincent and the Grenadines","5532","Producer Price (USD/tonne)","01311","Avocados","2020","2020","7021","Annual value","USD","674.3","A","Official figure"
"PP","Producer Prices","740","Suriname","5532","Producer Price (USD/tonne)","01311","Avocados","2015","2015","7021","Annual value","USD","1826.6","A","Official figure"
"PP","Producer Prices","740","Suriname","5532","Producer Price (USD/tonne)","01311","Avocados","2016","2016","7021","Annual value","USD","1557.3","A","Official figure"
"PP","Producer Prices","740","Suriname","5532","Producer Price (USD/tonne)","01311","Avocados","2017","2017","7021","Annual value","USD","1135.2","A","Official figure"
"PP","Producer Prices","740","Suriname","5532","Producer Price (USD/tonne)","01311","Avocados","2018","2018","7021","Annual value","USD","984.9","A","Official figure"
"PP","Producer Prices","740","Suriname","5532","Producer Price (USD/tonne)","01311","Avocados","2019","2019","7021","Annual value","USD","1676.1","A","Official figure"
"PP","Producer Prices","840","United States of America","5532","Producer Price (USD/tonne)","01311","Avocados","2015","2015","7021","Annual value","USD","2083","A","Official figure"
"PP","Producer Prices","840","United States of America","5532","Producer Price (USD/tonne)","01311","Avocados","2016","2016","7021","Annual value","USD","2998","A","Official figure"
"PP","Producer Prices","840","United States of America","5532","Producer Price (USD/tonne)","01311","Avocados","2017","2017","7021","Annual value","USD","2315","A","Official figure"
"PP","Producer Prices","840","United States of America","5532","Producer Price (USD/tonne)","01311","Avocados","2018","2018","7021","Annual value","USD","2403","A","Official figure"
"PP","Producer Prices","840","United States of America","5532","Producer Price (USD/tonne)","01311","Avocados","2019","2019","7021","Annual value","USD","3263","A","Official figure"
"PP","Producer Prices","840","United States of America","5532","Producer Price (USD/tonne)","01311","Avocados","2020","2020","7021","Annual value","USD","2282","A","Official figure"
"PP","Producer Prices","840","United States of America","5532","Producer Price (USD/tonne)","01311","Avocados","2021","2021","7021","Annual value","USD","2524.3","A","Official figure"
"PP","Producer Prices","840","United States of America","5532","Producer Price (USD/tonne)","01311","Avocados","2022","2022","7021","Annual value","USD","3549.4","A","Official figure"
